timestamp,city,temp,humidity,weather
,Tel Aviv,27.12,57,Clouds
,Tel Aviv,27.12,57,Clouds
,Tel Aviv,27.12,57,Clouds
2025-06-01 09:27:23+00:00,Tel Aviv,27.12,57,Clouds
2025-06-01 09:40:34+00:00,Tel Aviv,27.2,56,Clouds
2025-06-01 09:40:40+00:00,Tel Aviv,27.2,56,Clouds
2025-06-02 20:19:30+00:00,Tel Aviv,22.08,70,Clouds
2025-06-02 20:19:52+00:00,Tel Aviv,22.08,70,Clouds
2025-06-02 20:22:55+00:00,Tel Aviv,22.08,70,Clouds
2025-06-02 20:30:44+00:00,Tel Aviv,22.08,70,Clouds
2025-06-02 20:33:07+00:00,Tel Aviv,22.08,70,Clouds
,Tel Aviv,25.5,60,Clear
,Tel Aviv,26.0,58,Rain
,Tel Aviv,28.3,55,Sunny
,Tel Aviv,24.8,62,Cloudy
2025-06-07 04:35:11+00:00,Tel Aviv,21.14,84,Clouds
